facit:['BLUE', 'd2'],prediction:,
facit:['GREEN', 'six'],prediction:,['unknown', 'symbol']
facit:['GREEN', 's'],prediction:,['unknown', 'symbol']
facit:['GREEN', 's'],prediction:,['blue', 's']
facit:['GREEN', 's'],prediction:,
facit:['GREEN', 'three'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'three'],prediction:,['green', 'one']
facit:['GREEN', 'three'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'two'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'two'],prediction:,['green', 'two']
facit:['GREEN', 'two'],prediction:,['green', 'two']
facit:['GREEN', 'zero'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'zero'],prediction:,['unknown', 'symbol']
facit:['GREEN', 'zero'],prediction:,['green', 'zero']
facit:['noise', '('],prediction:,
facit:['noise', '(1'],prediction:,
facit:['noise', '(1'],prediction:,
facit:['noise', '(1'],prediction:,['unknown', 'symbol']
facit:['noise', '(1'],prediction:,
facit:['noise', '(1'],prediction:,
facit:['noise', '('],prediction:,
facit:['noise', '('],prediction:,
facit:['noise', '('],prediction:,
facit:['noise', '('],prediction:,
facit:['noise', '('],prediction:,
facit:['noise', '('],prediction:,
facit:['noise', '('],prediction:,
facit:['noise', '('],prediction:,
facit:['RED', 'd2'],prediction:,['unknown', 'symbol']
facit:['RED', 'd2'],prediction:,['unknown', 'symbol']
facit:['RED', 'd2'],prediction:,
facit:['RED', 'eight'],prediction:,
facit:['RED', 'eight'],prediction:,['red', 'eight']
facit:['RED', 'eight'],prediction:,['red', 'eight']
facit:['RED', 'five'],prediction:,
facit:['RED', 'five'],prediction:,['unknown', 'symbol']
facit:['RED', 'five'],prediction:,['unknown', 'symbol']
facit:['RED', 'four'],prediction:,['red', 'four']
facit:['RED', 'four'],prediction:,['red', 'four']
facit:['RED', 'four'],prediction:,['red', 'four']
facit:['RED', 'nine'],prediction:,['red', 'nine']
facit:['RED', 'nine'],prediction:,['unknown', 'symbol']
facit:['RED', 'nine'],prediction:,['unknown', 'symbol']
facit:['RED', 'one'],prediction:,['red', 'one']
facit:['RED', 'one'],prediction:,['red', 'one']
facit:['RED', 'one'],prediction:,['red', 'one']
facit:['RED', 'r'],prediction:,['red', 'r']
facit:['RED', 'r'],prediction:,['unknown', 'symbol']
facit:['RED', 'r'],prediction:,['red', 'r']
facit:['RED', 'seven'],prediction:,['red', 'one']
facit:['RED', 'seven'],prediction:,['red', 'seven']
facit:['RED', 'seven'],prediction:,['red', 'seven']
facit:['RED', 'six'],prediction:,['red', 'six']
facit:['RED', 'six'],prediction:,['unknown', 'symbol']
facit:['RED', 'six'],prediction:,['red', 'six']
facit:['RED', 's'],prediction:,['unknown', 'symbol']
facit:['RED', 's'],prediction:,['unknown', 'symbol']
facit:['RED', 's'],prediction:,['red', 's']
facit:['RED', 'three'],prediction:,['red', 'six']
facit:['RED', 'three'],prediction:,['red', 'three']
facit:['RED', 'three'],prediction:,['red', 'three']
facit:['RED', 'two'],prediction:,
facit:['RED', 'two'],prediction:,['unknown', 'symbol']
facit:['RED', 'two'],prediction:,['red', 'two']
facit:['RED', 'zero'],prediction:,['red', 'zero']
facit:['RED', 'zero'],prediction:,['red', 'one']
facit:['RED', 'zero'],prediction:,
facit:['WILD', 'card'],prediction:,
facit:['WILD', 'card'],prediction:,['wild', 'card']
facit:['WILD', 'card'],prediction:,['unknown', 'symbol']
facit:['WILD', 'card'],prediction:,['unknown', 'symbol']
facit:['WILD', 'custom'],prediction:,
facit:['WILD', 'custom'],prediction:,['blue', 'one']
facit:['WILD', 'custom'],prediction:,
facit:['WILD', 'shuffle'],prediction:,['unknown', 'symbol']
facit:['WILD', 'shuffle'],prediction:,['unknown', 'symbol']
facit:['WILD', 'shuffle'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'd2'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'd2'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'd2'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'eight'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'eight'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'eight'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'five'],prediction:,['yellow', 'seven']
facit:['YELLOW', 'four'],prediction:,['yellow', 'one']
facit:['YELLOW', 'four'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'four'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'nine'],prediction:,['yellow', 'one']
facit:['YELLOW', 'nine'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'nine'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'one'],prediction:,
facit:['YELLOW', 'one'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'one'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'r'],prediction:,['yellow', 'one']
facit:['YELLOW', 'r'],prediction:,['yellow', 'one']
facit:['YELLOW', 'r'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'seven'],prediction:,['yellow', 'one']
facit:['YELLOW', 'seven'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'seven'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'six'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 's'],prediction:,['yellow', 'one']
facit:['YELLOW', 's'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 's'],prediction:,
facit:['YELLOW', 'three'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'three'],prediction:,['yellow', 'one']
facit:['YELLOW', 'three'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'two'],prediction:,['yellow', 'one']
facit:['YELLOW', 'two'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'two'],prediction:,
facit:['YELLOW', 'zero'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'zero'],prediction:,['unknown', 'symbol']
facit:['YELLOW', 'zero'],prediction:,['unknown', 'symbol']
