facit:['BLUE', 'd2'],prediction:,['blue', 'd2']
facit:['GREEN', 'seven'],prediction:,['green', 'seven']
facit:['GREEN', 'six'],prediction:,['green', 'six']
facit:['GREEN', 'six'],prediction:,['green', 'six']
facit:['GREEN', 'six'],prediction:,['green', 'six']
facit:['GREEN', 's'],prediction:,['green', 's']
facit:['GREEN', 's'],prediction:,['green', 's']
facit:['GREEN', 's'],prediction:,['green', 's']
facit:['GREEN', 'three'],prediction:,['green', 'three']
facit:['GREEN', 'three'],prediction:,['green', 'three']
facit:['GREEN', 'three'],prediction:,['green', 'three']
facit:['GREEN', 'two'],prediction:,['green', 'two']
facit:['GREEN', 'two'],prediction:,['green', 'two']
facit:['GREEN', 'two'],prediction:,['green', 'two']
facit:['GREEN', 'zero'],prediction:,['green', 'zero']
facit:['GREEN', 'zero'],prediction:,['green', 'zero']
facit:['GREEN', 'zero'],prediction:,['green', 'zero']
facit:['noise', '('],prediction:,['']
facit:['noise', '(1'],prediction:,['']
facit:['noise', '(1'],prediction:,['']
facit:['noise', '(1'],prediction:,['']
facit:['noise', '(1'],prediction:,['']
facit:['noise', '(1'],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['noise', '('],prediction:,['']
facit:['RED', 'd2'],prediction:,['red', 'd2']
facit:['RED', 'd2'],prediction:,['red', 'd2']
facit:['RED', 'd2'],prediction:,['red', 'd2']
facit:['RED', 'eight'],prediction:,['red', 'eight']
facit:['RED', 'eight'],prediction:,['red', 'eight']
facit:['RED', 'eight'],prediction:,['red', 'eight']
facit:['RED', 'five'],prediction:,['red', 'five']
facit:['RED', 'five'],prediction:,['green', 'five']
facit:['RED', 'five'],prediction:,['red', 'five']
facit:['RED', 'four'],prediction:,['red', 'four']
facit:['RED', 'four'],prediction:,['red', 'four']
facit:['RED', 'four'],prediction:,['red', 'four']
facit:['RED', 'nine'],prediction:,['red', 'nine']
facit:['RED', 'nine'],prediction:,['red', 'nine']
facit:['RED', 'nine'],prediction:,['red', 'nine']
facit:['RED', 'one'],prediction:,['red', 'one']
facit:['RED', 'one'],prediction:,['red', 'one']
facit:['RED', 'one'],prediction:,['red', 'one']
facit:['RED', 'r'],prediction:,['red', 'r']
facit:['RED', 'r'],prediction:,['green', 'r']
facit:['RED', 'r'],prediction:,['red', 'r']
facit:['RED', 'seven'],prediction:,['red', 'seven']
facit:['RED', 'seven'],prediction:,['red', 'seven']
facit:['RED', 'seven'],prediction:,['red', 'seven']
facit:['RED', 'six'],prediction:,['red', 'six']
facit:['RED', 'six'],prediction:,['red', 'six']
facit:['RED', 'six'],prediction:,['red', 'six']
facit:['RED', 's'],prediction:,['red', 's']
facit:['RED', 's'],prediction:,['red', 's']
facit:['RED', 's'],prediction:,['red', 's']
facit:['RED', 'three'],prediction:,['red', 'three']
facit:['RED', 'three'],prediction:,['green', 'three']
facit:['RED', 'three'],prediction:,['red', 'three']
facit:['RED', 'two'],prediction:,['red', 'two']
facit:['RED', 'two'],prediction:,['green', 'two']
facit:['RED', 'two'],prediction:,['red', 'two']
facit:['RED', 'zero'],prediction:,['red', 'zero']
facit:['RED', 'zero'],prediction:,['red', 'zero']
facit:['RED', 'zero'],prediction:,['green', 'zero']
facit:['WILD', 'card'],prediction:,['wild', 'card']
facit:['WILD', 'card'],prediction:,['wild', 'card']
facit:['WILD', 'card'],prediction:,['wild', 'card']
facit:['WILD', 'card'],prediction:,['wild', 'card']
facit:['WILD', 'custom'],prediction:,['wild', 'custom']
facit:['WILD', 'custom'],prediction:,['wild', 'custom']
facit:['WILD', 'custom'],prediction:,['wild', 'custom']
facit:['WILD', 'shuffle'],prediction:,['wild', 'shuffle']
facit:['WILD', 'shuffle'],prediction:,['wild', 'shuffle']
facit:['WILD', 'shuffle'],prediction:,['wild', 'shuffle']
facit:['YELLOW', 'd2'],prediction:,['green', 'd2']
facit:['YELLOW', 'd2'],prediction:,['green', 'd2']
facit:['YELLOW', 'd2'],prediction:,['yellow', 'd2']
facit:['YELLOW', 'eight'],prediction:,['yellow', 'eight']
facit:['YELLOW', 'eight'],prediction:,['yellow', 'eight']
facit:['YELLOW', 'eight'],prediction:,['yellow', 'eight']
facit:['YELLOW', 'five'],prediction:,['yellow', 'five']
facit:['YELLOW', 'four'],prediction:,['yellow', 'four']
facit:['YELLOW', 'four'],prediction:,['yellow', 'four']
facit:['YELLOW', 'four'],prediction:,['yellow', 'four']
facit:['YELLOW', 'nine'],prediction:,['green', 'nine']
facit:['YELLOW', 'nine'],prediction:,['green', 'nine']
facit:['YELLOW', 'nine'],prediction:,['yellow', 'nine']
facit:['YELLOW', 'one'],prediction:,['yellow', 'one']
facit:['YELLOW', 'one'],prediction:,['yellow', 'one']
facit:['YELLOW', 'one'],prediction:,['yellow', 'one']
facit:['YELLOW', 'r'],prediction:,['yellow', 'r']
facit:['YELLOW', 'r'],prediction:,['yellow', 'r']
facit:['YELLOW', 'r'],prediction:,['yellow', 'r']
facit:['YELLOW', 'seven'],prediction:,['yellow', 'seven']
facit:['YELLOW', 'seven'],prediction:,['yellow', 'seven']
facit:['YELLOW', 'seven'],prediction:,['yellow', 'seven']
facit:['YELLOW', 'six'],prediction:,['yellow', 'six']
facit:['YELLOW', 's'],prediction:,['green', 's']
facit:['YELLOW', 's'],prediction:,['green', 's']
facit:['YELLOW', 's'],prediction:,['yellow', 's']
facit:['YELLOW', 'three'],prediction:,['yellow', 'three']
facit:['YELLOW', 'three'],prediction:,['yellow', 'three']
facit:['YELLOW', 'three'],prediction:,['yellow', 'three']
facit:['YELLOW', 'two'],prediction:,['green', 'two']
facit:['YELLOW', 'two'],prediction:,['green', 'two']
facit:['YELLOW', 'two'],prediction:,['yellow', 'two']
facit:['YELLOW', 'zero'],prediction:,['green', 'zero']
facit:['YELLOW', 'zero'],prediction:,['green', 'zero']
facit:['YELLOW', 'zero'],prediction:,['yellow', 'zero']
